"","method","proposed.assignment","QP.assignment"
"1","log.likelihood",-309.275191590464,-309.292467456307
"2","euclidean",39.0883974455737,38.4995603673331
"3","manhattan",231.436416800659,238.039937350081
"4","cosine",0.992710643066535,0.99291761695802
